id,bus_stop_id,bus_id,enter_sum,exit_sum,bus_board_computer_sent_time,created_time,route_number,tickets_count
1943369002,1962,1122,11,3,2024-12-07T11:41:54.594,2024-12-07T11:42:48.71,50,10
1954022525,1962,4901,9,1,2024-12-09T09:50:07.4,2024-12-09T10:10:08.806,50,7
1951181329,1756,1129,0,2,2024-12-08T19:34:17.466,2024-12-08T19:34:44.382,50,2
1949025895,1756,1122,2,3,2024-12-08T12:48:45.961,2024-12-08T12:49:10.277,50,2
1942585720,2119,1122,3,1,2024-12-07T08:46:12.608,2024-12-07T08:53:56.845,50,4
1954069636,2358,1117,0,3,2024-12-09T10:17:22.551,2024-12-09T10:18:26.151,50,3
1949934089,2363,1122,11,2,2024-12-08T16:09:33.001,2024-12-08T16:09:53.152,50,8
1943346527,2367,1129,1,1,2024-12-07T11:12:29.416,2024-12-07T11:39:34.612,50,6
1944199275,2355,1120,3,3,2024-12-07T14:41:50.874,2024-12-07T14:43:53.548,50,1
1945909969,2357,1130,2,6,2024-12-07T19:57:27.645,2024-12-07T19:57:56.665,50,7
1945079065,2125,4901,1,4,2024-12-07T17:13:43.416,2024-12-07T17:25:56.248,12,1
1945192063,1912,4901,4,3,2024-12-07T17:22:35.042,2024-12-07T17:38:03.958,12,11
1945969182,1427,4901,0,0,2024-12-07T19:59:22.388,2024-12-07T20:02:49.761,12,0
1945964148,3025,1129,1,5,2024-12-07T20:01:04.308,2024-12-07T20:01:30.825,50,0
1947241930,2137,4901,0,0,2024-12-07T22:07:19.394,2024-12-07T23:22:12.57,12,0
1945978626,1423,4901,3,2,2024-12-07T20:01:56.519,2024-12-07T20:04:20.557,12,2
1945087430,2435,1129,5,5,2024-12-07T17:14:44.4,2024-12-07T17:27:52.536,50,2
1945229126,2069,1129,0,1,2024-12-07T17:35:57.69,2024-12-07T17:45:01.107,50,3
1942554429,1754,1130,6,0,2024-12-07T08:45:40.97,2024-12-07T08:47:23.873,50,4
1943350621,2360,4901,2,6,2024-12-07T11:32:17.167,2024-12-07T11:39:59.708,12,2
1953298519,2227,1129,2,5,2024-12-09T08:02:36.48,2024-12-09T08:05:24.84,50,2
1954022755,2367,1130,4,0,2024-12-09T10:08:14.695,2024-12-09T10:10:10.869,50,5
1943368692,2355,1129,0,0,2024-12-07T11:23:19.365,2024-12-07T11:42:42.885,50,1
1943399517,1754,1130,0,0,2024-12-07T11:48:04.182,2024-12-07T11:50:48.856,50,2
1944206599,1756,1129,6,2,2024-12-07T14:45:11.336,2024-12-07T14:45:39.205,50,3
1948184657,2367,1122,2,1,2024-12-08T09:29:09.72,2024-12-08T09:29:58.799,50,3
1948195648,1960,4901,0,3,2024-12-08T09:26:25.163,2024-12-08T09:32:25.12,50,0
1949027612,2363,4901,0,1,2024-12-08T12:42:36.811,2024-12-08T12:49:37.552,50,3
1949039009,2356,4901,0,1,2024-12-08T12:47:53.809,2024-12-08T12:52:39.316,50,1
1953246808,2227,1130,2,8,2024-12-09T07:51:59.644,2024-12-09T07:56:04.664,50,2
1945912172,1478,1120,0,0,2024-12-07T19:57:09.249,2024-12-07T19:58:27.275,50,0
1949938042,2274,1130,0,5,2024-12-08T16:10:19.834,2024-12-08T16:10:52.256,50,0
1945084947,2436,1129,0,0,2024-12-07T17:14:24.342,2024-12-07T17:27:20.868,50,0
1951183355,2360,1122,1,3,2024-12-08T19:32:33.843,2024-12-08T19:35:12.529,50,1
1945963876,2361,1130,0,1,2024-12-07T20:01:04.196,2024-12-07T20:01:26.841,50,0
1945976000,2436,1120,0,0,2024-12-07T20:02:01.343,2024-12-07T20:03:39.753,50,0
1947243601,2129,4901,1,3,2024-12-07T22:09:19.386,2024-12-07T23:30:56.04,12,0
1948194899,2355,1130,1,0,2024-12-08T09:31:36.867,2024-12-08T09:32:15.312,50,1
1943366679,2359,1129,0,0,2024-12-07T11:19:54.376,2024-12-07T11:42:12.741,50,5
1949036481,2360,4901,2,0,2024-12-08T12:44:53.792,2024-12-08T12:51:58.922,50,2
1953247526,2928,1120,9,3,2024-12-09T07:54:20.401,2024-12-09T07:56:14.768,50,3
1953272338,2259,1129,1,2,2024-12-09T07:54:51.485,2024-12-09T08:00:43.292,50,3
1949979976,2226,1122,0,4,2024-12-08T16:20:56.3,2024-12-08T16:21:17.038,50,0
1943371970,2354,1129,0,0,2024-12-07T11:24:44.396,2024-12-07T11:43:33.307,50,7
1945912758,1476,1120,1,1,2024-12-07T19:57:55.523,2024-12-07T19:58:35.569,50,0
1954023361,2240,1129,0,2,2024-12-09T10:06:34.491,2024-12-09T10:10:17.41,50,0
1942555795,2225,1120,1,8,2024-12-07T08:44:56.385,2024-12-07T08:47:41.865,50,0
1944210881,2354,1120,6,3,2024-12-07T14:42:55.553,2024-12-07T14:46:45.353,50,3
